passer_id,passer,n_passes,total_EEPV_added,minutes,EEPV_added_per90
133852,C. Hollman,44,0.025330347674156182,96.0,0.02374720094452142
963054,K. Rahmani,22,0.021366084531122792,85.87,0.022393706856888913
51644,R. Grant,77,0.04712251999642524,190.65,0.022245092051813645
14736,L. Verstraete,112,0.07832731940493584,317.33000000000004,0.022214914273608624
771857,H. Politidis,22,0.02687150287027064,111.59,0.02167250881193976
51017,T. Payne,30,0.038740409608603935,163.57,0.021315870054254168
23883,J. Donachie,77,0.04488153626886704,194.48000000000002,0.020769941712248215
18573,J. Lolley,45,0.03597272923445134,158.23,0.02046101011881831
27003,K. Nagasawa,35,0.031414766578916085,143.01,0.019770148885409747
735574,K. Grozos,39,0.02057696954208391,98.4,0.01882039897141821
2858,Douglas Costa,34,0.02201412205383768,107.25,0.018473389136087565
33697,N. Pijnaker,176,0.07744627050606977,380.16999999999996,0.018334335548692113
10549,T. Sainsbury,30,0.01494814996857235,76.86,0.017503688487789635
26969,H. Ishige,30,0.029302327452950014,159.53,0.016531119355390842
9520,S. Souprayen,176,0.035713451524115924,197.47,0.016276956687954796
795530,N. Pennington,33,0.017108222489384862,102.13,0.01507627557078858
159941,M. Tilio,27,0.012793247344950994,76.98,0.014957031190511682
50955,N. Velupillay,42,0.026289431134470676,183.18,0.012916523649428762
104563,N. Atkinson,86,0.026565459867722106,197.47,0.012107618312123307
51649,A. Šušnjar,52,0.012128496450459204,98.4,0.011093136997371222
11897,J. Risdon,25,0.011652552227482382,102.13,0.010268576328927978
51044,L. Brattan,38,0.011261598959769165,98.75,0.010263735760802277
809166,A. Lebib,36,0.010354754322579582,102.13,0.009124918134066018
23418,F. Gallegos,116,0.03300979830593623,328.12,0.009054254076357005
698137,I. Hughes,71,0.018571207814827188,190.93,0.00875403919412584
582974,M. Francois,22,0.00997784649635512,111.57,0.00804881405997993
795511,N. Paull,31,0.0076666993060830035,98.72,0.006989494910326887
29856,A. McCalmont,22,0.006128072428652251,98.72,0.005586775917531428
808580,K. Adamson,31,0.003713367686142998,84.7,0.003945727175358557
931987,H. Devenish-Meares,40,0.005881746509664836,190.65,0.002776591585994415
973078,F. Talladira,28,0.0016065195414052772,96.0,0.0015061120700674473
50949,J. Barnett,31,0.0010148286788155478,60.65,0.0015059287896685787
159946,M. Sutton,70,0.0026781329518922835,194.48000000000002,0.0012393663393166674
133501,L. Rogerson,61,-0.00041612539541423764,309.72,-0.00012091981656748478
957737,D. Leonard,103,-0.00048603015634648625,194.48000000000002,-0.00022492140102418632
560893,E. Alagich,43,-0.001368940105010005,96.0,-0.0012833813484468797
560984,D. Williams,21,-0.0020589794522608666,99.1,-0.0018699107033650656
51000,J. Courtney-Perkins,72,-0.006147809874654997,190.65,-0.002902191915651454
114464,G. Ferreyra,74,-0.004082519370285467,120.5,-0.0030491845919144566
799092,M. Sheridan,41,-0.005687549390608937,159.53,-0.003208672006235845
51646,J. Yull,21,-0.0055095702208867335,86.36,-0.005741793884666582
23909,K. Barbarouses,29,-0.01719843215546158,199.67,-0.007752085410885673
809070,E. Cox,24,-0.009165738997590475,96.0,-0.008592880310241071
11885,D. Arzani,44,-0.013398634528243608,138.28,-0.008720546048177067
42513,Z. Clough,23,-0.008746521846847051,86.36,-0.009115180247987895
560989,T. Mrčela,35,-0.010434831181744543,102.13,-0.009195484249065005
7252,M. Leckie,33,-0.008811790114643694,86.13,-0.00920772216786175
51014,I. Vujica,25,-0.012854213510503507,98.75,-0.011715232566534842
51051,C. Talbot,45,-0.01604164127691813,98.72,-0.014624672963154697
51681,S. Ugarković,27,-0.021026460922266264,120.48,-0.01570701762121484
50983,D. Ingham,30,-0.018747721151488143,98.4,-0.017147305931239153
23930,S. Roux,28,-0.01977838768768695,98.72,-0.01803135020149742
51713,C. Elliott,49,-0.034280374058977214,166.78,-0.0184988227923489
50982,R. Warland,23,-0.017974417791297517,85.36,-0.0189514714294374
38673,G. May,69,-0.08218449667588612,384.75,-0.019224443666873946
11895,M. Jurman,22,-0.014728557725384669,64.92,-0.02041851810358318
51006,T. Uskok,46,-0.023957697447800214,98.75,-0.02183486349672931
11891,A. Behich,104,-0.054621297393983484,197.47,-0.024894499242712885
25534,A. Ouahim,39,-0.039851184630258774,110.85000000000001,-0.032355494963674236
811820,K. Bos,78,-0.0812485136538736,196.24,-0.037262363579538445
560986,K. Jelacic,28,-0.03918362115897938,89.55,-0.03938052377786873
51005,D. Pierias,28,-0.042117168076840863,96.0,-0.03948484507203831
51667,D. Hall,175,-0.19884592740448984,396.5,-0.04513526725448697
51722,J. Hingert,23,-0.019413729604869746,30.03,-0.05818300580880044
800322,J. Inserra,30,-0.07025679713662021,97.42,-0.06490568407201622
51043,H. Van Der Saag,37,-0.056746241384617084,72.1,-0.07083442059106156
9175,Roderick Miranda,26,-0.11363199817143184,68.05,-0.15028478817676513
795547,Z. de Jesus,33,-0.14082443271005848,69.46,-0.18246759205161625
51050,B. Warland,21,-0.08468990844110472,33.1,-0.23027467551962005
